case,fold,dice,iou,precision,recall,tp,fp,fn,tn,n_pred,n_ref,volume_difference,volume_difference_pct
AAA_102,4,0.9873202253831909,0.9749579779617755,0.993812764742278,0.98091196642761,125286,780,2438,4065800,126066,127724,-1658,-1.2981115530362344
AAA_103,0,0.9824173393785248,0.9654422951532275,0.984249496833281,0.980591990286797,53304,853,1055,4139092,54157,54359,-202,-0.37160359830018946
AAA_104,2,0.9701480136262745,0.9420266469964501,0.979577650471008,0.960898189513285,40867,852,1663,4150922,41719,42530,-811,-1.9068892546437808
AAA_105,1,0.9756440322169816,0.9524462812751874,0.975190069004267,0.97609841827768,55540,1413,1360,4135991,56953,56900,53,0.09314586994727592
AAA_106,4,0.9848424799407758,0.9701375998114263,0.98137867825128,0.988330819394103,131702,2499,1555,4058548,134201,133257,944,0.7084055621843506
AAA_107,0,0.980423620025674,0.9615989927604659,0.984927863302974,0.975960386550595,48880,748,1204,4143472,49628,50084,-456,-0.9104704097116844
AAA_108,3,0.962988792029888,0.9286194639254491,0.979778014292231,0.946765267642882,19332,399,1087,4173486,19731,20419,-688,-3.3694108428424507
AAA_109,3,0.9720462169213567,0.9456127628716461,0.97554589236452,0.968571561208858,20864,523,677,4172240,21387,21541,-154,-0.7149157420732557
AAA_110,2,0.9765131096841504,0.9541041697004999,0.991066926619382,0.962380552132721,117933,1063,4610,4070698,118996,122543,-3547,-2.8944941775540016
AAA_111,2,0.9837911932621107,0.9680994562723366,0.980603994703778,0.986999177701534,69617,1377,917,4122393,70994,70534,460,0.6521677488870615
AAA_112,2,0.9781321596032091,0.9572002571520412,0.968816084848879,0.98762913951213,59557,1917,746,4132084,61474,60303,1171,1.941860272291594
AAA_113,2,0.9532368590365506,0.9106519151593202,0.91574444706067,0.993930358854222,46670,4294,285,4143055,50964,46955,4009,8.537961878394206
AAA_114,4,0.9761781567564212,0.9534648661761138,0.987873075714734,0.964756898279777,47166,579,1723,4144836,47745,48889,-1144,-2.3399946818302686
AAA_115,4,0.9766681060992685,0.9544001432188435,0.969928525016244,0.983502002951718,37318,1157,626,4155203,38475,37944,531,1.3994307400379506
AAA_116,4,0.9786656403428476,0.9582225752900079,0.989701674661281,0.967873014566702,94085,979,3123,4096117,95064,97208,-2144,-2.2055797876717964
AAA_117,2,0.9746252902681022,0.9505064646298279,0.984182477083777,0.965251933932678,46168,742,1662,4145732,46910,47830,-920,-1.9234789880827932
AAA_118,1,0.9766940197350202,0.9544496353691887,0.976907601247923,0.976480531592446,33505,792,807,4159200,34297,34312,-15,-0.043716484028911165
AAA_119,4,0.9790015096953814,0.9588667554281033,0.975018875784321,0.983016812568084,74899,1919,1294,4116192,76818,76193,625,0.8202853280485084
AAA_120,4,0.9818136005217288,0.9642768760462915,0.981784496813399,0.981842705955592,66241,1229,1225,4125609,67470,67466,4,0.005928912341031038
AAA_121,1,0.9406659749080275,0.8879786286731968,0.919451206019031,0.962882855046155,24930,2184,961,4166229,27114,25891,1223,4.723649144490364
AAA_122,2,0.9785916178678171,0.9580806609644361,0.964182922929325,0.993437491419314,72360,2688,478,4118778,75048,72838,2210,3.0341305362585462
AAA_123,0,0.9788622066538656,0.9585995279307632,0.978021448754174,0.979704411315354,60919,1369,1262,4130754,62288,62181,107,0.17207828757980734
AAA_124,3,0.9806850923060506,0.9621021775544388,0.978231944222683,0.983150575020059,36760,818,630,4156096,37578,37390,188,0.5028082374966568
AAA_125,4,0.9629314286615266,0.9285127862073159,0.984111637500403,0.942643699450516,91608,1479,5574,4095643,93087,97182,-4095,-4.213743285793665
AAA_126,1,0.9694968236361803,0.9407994520279858,0.968861792714264,0.970132687553605,19229,618,592,4173865,19847,19821,26,0.13117400736592502
AAA_127,4,0.9658413955968614,0.9339393314377477,0.973061337262848,0.958727806176462,63393,1755,2729,4126427,65148,66122,-974,-1.4730346934454492
AAA_128,0,0.9656239032085129,0.9335326929960626,0.986508530674967,0.945605209088712,125183,1712,7201,4060208,126895,132384,-5489,-4.146271452743534
AAA_129,1,0.9775380172828687,0.9560629478712941,0.979360075996373,0.975722725708386,68043,1434,1693,4123134,69477,69736,-259,-0.37140071125387175
AAA_130,4,0.9747030209199423,0.9506543380187167,0.965613224517619,0.983965577123452,50995,1816,831,4140662,52811,51826,985,1.9005904372322773
AAA_131,0,0.9795812909702947,0.9599797439050858,0.980261505503435,0.978902019799643,66349,1336,1430,4125189,67685,67779,-94,-0.1386860236946547
AAA_132,4,0.973440678451709,0.9482556516885292,0.974921090387375,0.971964755692871,33976,874,980,4158474,34850,34956,-106,-0.3032383567913949
AAA_133,0,0.9769770530712396,0.9549903606798301,0.974891694620973,0.979071352087998,231334,5958,4945,3952067,237292,236279,1013,0.42873044155426426
AAA_134,4,0.9776129545851698,0.9562063202673959,0.973304208308364,0.981960019502682,50350,1381,925,4141648,51731,51275,456,0.8893222818137494
AAA_135,2,0.9751901330219045,0.9515815220412475,0.983086862885858,0.967419254570629,34236,589,1153,4158326,34825,35389,-564,-1.5937155613326175
AAA_136,0,0.9793187653143999,0.9594756247439574,0.985491634968189,0.973222744876419,58552,862,1611,4133279,59414,60163,-749,-1.2449512158635707
AAA_137,1,0.9719410967298657,0.9454138217549944,0.953497127728051,0.991112682101649,78510,3829,704,4111261,82339,79214,3125,3.9450097205039514
AAA_138,2,0.9769118006352309,0.954865671641791,0.965588022216856,0.988504326328801,23991,855,279,4169179,24846,24270,576,2.373300370828183
AAA_139,4,0.9783315128963983,0.9575821562921428,0.978868321528011,0.977795292710768,107931,2330,2451,4081592,110261,110382,-121,-0.10961932199090431
AAA_140,0,0.9729030848235423,0.9472359136200844,0.979898022816478,0.966007304813221,26713,548,940,4166103,27261,27653,-392,-1.4175677141720608
AAA_141,0,0.9777270015873176,0.9564245589049767,0.973994843284183,0.981487871714199,48353,1291,912,4143748,49644,49265,379,0.7693088399472242
AAA_142,0,0.9865900897961064,0.9735350719015653,0.984401933669912,0.98878799538284,128493,2036,1457,4062318,130529,129950,579,0.4455559830704117
AAA_143,4,0.9819207024516173,0.9644835179500868,0.972530614991253,0.991493886230728,57815,1633,496,4134360,59448,58311,1137,1.9498893862221536
AAA_144,4,0.9829556167276292,0.9664825182603537,0.991983052782464,0.97409100534373,78201,632,2080,4113391,78833,80281,-1448,-1.8036646279941704
AAA_145,0,0.9774698429025622,0.9559325327648192,0.978030010642901,0.976910316468266,167249,3757,3953,4019345,171006,171202,-196,-0.11448464387098281
AAA_146,0,0.9734351630024751,0.948245184249207,0.954893661222052,0.992710976729118,36772,1737,270,4155525,38509,37042,1467,3.9603693105123914
AAA_147,2,0.9836516546684912,0.9678292479018573,0.977600694233847,0.98977798771847,209536,4801,2164,3977803,214337,211700,2637,1.2456306093528577
AAA_148,3,0.9778355017130573,0.9566322283270678,0.969864960909737,0.985938135019192,109168,3392,1557,4080187,112560,110725,1835,1.6572589749379092
AAA_149,2,0.9749151965632011,0.951058091286307,0.968990445590598,0.980912845312734,45841,1467,892,4146104,47308,46733,575,1.2303939400423682
AAA_150,0,0.9836401355006433,0.9678069450186028,0.979370931053416,0.987946722932876,74916,1578,914,4116896,76494,75830,664,0.8756428854015561
AAA_151,3,0.9738945289597927,0.9491173728686133,0.978271650858595,0.969556402064389,63122,1402,1982,4127798,64524,65104,-580,-0.8908822806586385
AAA_152,2,0.9825773967615903,0.9657514916948879,0.978733401430031,0.986451705890831,95818,2082,1316,4095088,97900,97134,766,0.7886013136491856
AAA_153,3,0.9800147523415863,0.9608126731160201,0.977715142595318,0.982325205066682,70417,1605,1267,4121015,72022,71684,338,0.4715138664137046
AAA_154,2,0.9745861014446905,0.9504319210201563,0.967748691099476,0.981520815632965,13863,462,261,4179718,14325,14124,201,1.4231096006796942
AAA_155,1,0.9760080230405267,0.9531403028552774,0.984361222055086,0.967795400071396,37955,603,1263,4154483,38558,39218,-660,-1.6829007088581773
AAA_156,0,0.979765667884386,0.9603339517625232,0.976236279280299,0.983320668693009,51762,1260,878,4140404,53022,52640,382,0.7256838905775076
AAA_157,0,0.9811373595598168,0.9629731434022669,0.976808646733693,0.985504608409313,59557,1414,876,4132457,60971,60433,538,0.890242086277365
AAA_158,0,0.9772972261724622,0.9556024009936511,0.997144538995373,0.958224581948097,193111,553,8419,3992221,193664,201530,-7866,-3.9031409715675087
AAA_159,0,0.9840917162188003,0.9686816535800079,0.984836058104143,0.983348498635123,54035,832,915,4138522,54867,54950,-83,-0.1510464058234759
AAA_160,3,0.9760729455368418,0.9532641424819015,0.976505332239541,0.975640941577602,29759,716,743,4163086,30475,30502,-27,-0.08851878565339978
AAA_161,3,0.9786174416716289,0.9581301674793301,0.985223132259973,0.972099740355513,63273,949,1816,4128266,64222,65089,-867,-1.3320223079168523
AAA_162,3,0.9796986279500847,0.9602051460361614,0.980176758713708,0.979220963423931,55231,1117,1172,4136784,56348,56403,-55,-0.09751254365902523
AAA_163,2,0.9747914244334293,0.9508225425199169,0.958935336800873,0.991180692104106,119468,5116,1063,4068657,124584,120531,4053,3.362620404709162
AAA_164,1,0.9696776606502195,0.9411400914224254,0.974713860035089,0.964693236315528,35001,908,1281,4157114,35909,36282,-373,-1.028057990187972
AAA_165,4,0.9838225340565687,0.9681601561034185,0.979982907606115,0.987692366587551,51601,1054,643,4141006,52655,52244,411,0.7866932087895261
AAA_166,3,0.9838793388169794,0.9682701832590391,0.984305056210714,0.98345398951431,125116,1995,2105,4065088,127111,127221,-110,-0.08646371275182556
